No,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,label,score
0,Fri Nov 10 12:45:07 +0000 2023,1722958566154555447,"@adriansyahyasin @PT_Transjakarta Kalo jam operasional gak sinkron baik dengan LRT atau TJ, terpaksalah menggunakan alternatif last mile: transportasi online, ojek, atau taxi 🤔",0,0,0,0,in,21290699,1722941384947384373,sunjaya,https://twitter.com/sunjaya/status/1722958566154555447,neutral,0.9976807832717896
1,Fri Nov 10 10:16:12 +0000 2023,1722921088089465296,Menguak Kontribusi E-Commerce hingga Transportasi Online untuk Ekonomi Digital Indonesia https://t.co/GoEKIjdL8l #TrenAsia,0,0,0,0,in,1675698038625673219,1722921088089465296,trenasiadotcom,https://twitter.com/trenasiadotcom/status/1722921088089465296,neutral,0.9877837300300598
2,Fri Nov 10 09:03:29 +0000 2023,1722902788781593084,"lebih baik warganet menggunakan aplikasi transportasi online produk dalam negeri aja deh, dari pada pakai yang foundernya ada keberpihakan ke israel #UninstallGrab",0,0,1,0,in,873911698242928640,1722902788781593084,OkieDesyana,https://twitter.com/OkieDesyana/status/1722902788781593084,positive,0.9500939846038818
3,Fri Nov 10 09:00:02 +0000 2023,1722901922204581901,"warganet di media sosial yang memperlihatkan seruan #UninstallGrab untuk memboikot aplikasi transportasi online itu, netizen kecewa dengan postingan yang diutarakan founder grab untuk mendukung israel",0,0,0,0,in,1666702941217230849,1722901922204581901,Wilyaryan,https://twitter.com/Wilyaryan/status/1722901922204581901,negative,0.9984096884727478
4,Fri Nov 10 08:24:12 +0000 2023,1722892901292859855,"@RetnoWulan046 sangat kecewa dan ga nyangka karena salah satu moda transportasi online, kalau gini saya akan #UninstallGrab",0,0,0,0,in,1672479174899154944,1722886905367531829,Annabetthh,https://twitter.com/Annabetthh/status/1722892901292859855,negative,0.9998376369476318
5,Fri Nov 10 08:14:15 +0000 2023,1722890397700227497,@BaraTerpendam sering banget pake ini untuk transportasi dan pesen makan online tp setelah denger beritanya jd kecewa #UninstallGrab,0,0,0,0,in,1706937594498715648,1722871717633105953,rahmaasyf,https://twitter.com/rahmaasyf/status/1722890397700227497,negative,0.9998577833175659
6,Fri Nov 10 07:10:00 +0000 2023,1722874228473463166,gaisss ahhh kita mending  #UninstallGrab aja dari pada memakai jasa transportasi online yang sangat mendukung penjajahan Israel yang melakukan genosida https://t.co/brtJlk7DE2,0,0,3,2,in,3003063804,1722874228473463166,Kdzaa_,https://twitter.com/Kdzaa_/status/1722874228473463166,negative,0.9988769888877869
7,Fri Nov 10 07:06:53 +0000 2023,1722873445007196318,mending kita pindah ke yang lain aja dari pada memakai jasa transportasi online yang jelas2 mendukung penjajahan Israel. #UninstallGrab https://t.co/y8eUVz7yIV,0,0,0,4,in,1672544672,1722873445007196318,ainimass,https://twitter.com/ainimass/status/1722873445007196318,negative,0.6679592728614807
8,Fri Nov 10 02:08:24 +0000 2023,1722798327891476594,"@Widino Kalo masih berpenghasilan ya gak harus milyaran sih 😁 Yg penting ada rumah, mobil, motor. Krn transportasi jelas terbatas di kampung. Kalo biaya hidup masih lebih murah asal gak boros. Godaan utk shopping banyak dr online.",0,0,0,0,in,30466682,1722789400776700271,pipit_kagome,https://twitter.com/pipit_kagome/status/1722798327891476594,negative,0.9996639490127563
9,Thu Nov 09 16:05:40 +0000 2023,1722646646096609612,Industri transportasi [umum] non rel? Noh ada. Ojek pangkalan vs ojek online. Katanya rebut lahan tempat makan. BAPAK KAU  Untung gk ada ojek payung vs gojek payung...,0,1,1,3,in,1051654604008480768,1722646208647438524,jr205newlivery,https://twitter.com/jr205newlivery/status/1722646646096609612,neutral,0.9996424913406372
10,Thu Nov 09 10:11:25 +0000 2023,1722557498018898217,"Alasan utama gak jadi nonton konser dewa karna parkiran"". Padahal transportasi umum udah murah, jauh lebih murah dari harga tiket konser. Kalo gak mau busway, masih ada taksi online 🤦‍♂️""",0,0,0,0,in,884823740,1722557498018898217,Tonay_Hawk,https://twitter.com/Tonay_Hawk/status/1722557498018898217,negative,0.9921541810035706
11,Thu Nov 09 08:41:42 +0000 2023,1722534919182991498,"Assiiapp..Anies berharap kemudahan bertransfortasi bisa berkembang kedepannya dengan jenis transportasi lainnya seperti ojek online, taksi, dan lainnya. Anies Modern #AniesModern",0,0,0,0,in,1693779780959879168,1722534919182991498,Endervate,https://twitter.com/Endervate/status/1722534919182991498,positive,0.9936111569404602
13,Thu Nov 09 07:23:00 +0000 2023,1722515112307679411,"Anies berharap kemudahan bertransfortasi bisa berkembang kedepannya dengan jenis transportasi lainnya seperti ojek online, taksi, dan lainnya. Anies Modern #AniesModern https://t.co/EhbFZporTC",0,0,0,0,in,1714778610203230208,1722515112307679411,Nefariokus,https://twitter.com/Nefariokus/status/1722515112307679411,neutral,0.6238868236541748
14,Thu Nov 09 07:08:48 +0000 2023,1722511541222961292,"Terbaikk !! Anies berharap kemudahan bertransfortasi bisa berkembang kedepannya dengan jenis transportasi lainnya seperti ojek online, taksi, dan lainnya. Anies Modern #AniesModern https://t.co/ZEKxZrXK9q",0,0,0,0,in,1693779780959879168,1722511541222961292,Endervate,https://twitter.com/Endervate/status/1722511541222961292,positive,0.9981745481491089
15,Thu Nov 09 07:04:00 +0000 2023,1722510331019145629,"Anies berharap kemudahan bertransfortasi bisa berkembang kedepannya dengan jenis transportasi lainnya seperti ojek online, taksi, dan lainnya. Gaskeun pak. Anies Modern  #AniesModern https://t.co/ywGAmhwVsL",0,0,0,1,in,1161497775709839366,1722510331019145629,quensw,https://twitter.com/quensw/status/1722510331019145629,positive,0.7574920654296875
