No,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,label,score
0,Tue Oct 31 23:59:51 +0000 2023,1719504489127063925,"Promo Kode Voucher Terbaru di Awal Bulan November 2023, Grecep Ada Shopee Sampe Gojek  https://t.co/pS4oOD9POl",0,0,0,0,in,1360977449023021057,1719504489127063925,Utaratimes,https://twitter.com/Utaratimes/status/1719504489127063925,neutral,0.999688982963562
1,Tue Oct 31 23:59:22 +0000 2023,1719504368180089327,Bandingin dulu grab gojek Maxim indriver   Trs baru ingat ternyata punya gopay jadinya naik gojek,0,0,0,0,in,1246470106554630145,1719504368180089327,edelweisjvnca,https://twitter.com/edelweisjvnca/status/1719504368180089327,neutral,0.993963897228241
2,Tue Oct 31 23:58:47 +0000 2023,1719504218732761588,"Duuuh jangaan pls, menurut gue itu udh harga standar aja ke abang gojek nya juga dikit bgt kan",0,0,0,0,in,1193113307877498881,1719504218732761588,clowdyoungk,https://twitter.com/clowdyoungk/status/1719504218732761588,negative,0.9995135068893433
3,Tue Oct 31 23:58:33 +0000 2023,1719504162927624314,"@KeretaCepatID Pernah banget lah buru-buru, masukin semua barang ke tas tanpa di pilih, makan sambil pake sepatu dan nyisir di atas gojek Sama mandi kodok di bandara aduh sukses sich tanpa terlambat.... tapi lelah ya... #SatSetWhoosh",0,0,0,0,in,159009132,1719231571772035414,SharaTanty,https://twitter.com/SharaTanty/status/1719504162927624314,negative,0.9994526505470276
4,Tue Oct 31 23:57:06 +0000 2023,1719503794537693374,@nextlepeul memang insting bpak gojek tdak pernah salah,0,1,0,0,in,1313829536685944834,1719503505378148492,chvyujin,https://twitter.com/chvyujin/status/1719503794537693374,negative,0.869468629360199
5,Tue Oct 31 23:56:20 +0000 2023,1719503601637437755,"@kumparan Buntut tidak tegasnya Kemenhub. Maxim &amp  indriver ngeyel, Aplikator2 yg lebih lama macam gojek grab gini mau ngga mau puter otak &amp  ikut ngeyel perang harga. Pada akhirnya yg dicekik ya driver nya. Bangsat bener kalian semua yg diatas sana. Ramikir!",0,0,0,0,in,594326806,1719193860818293211,Dega_29,https://twitter.com/Dega_29/status/1719503601637437755,negative,0.9998539686203003
6,Tue Oct 31 23:53:32 +0000 2023,1719502897241784688,"@rizahariati @axma_ @fullmoonfolks Aduh bener lagi. Males banget naek gojek yg drivernya mgeluh, sarkas harga kemurahan.",0,0,0,0,in,246650109,1719234249298153737,harisubangkit,https://twitter.com/harisubangkit/status/1719502897241784688,negative,0.9984965324401855
7,Tue Oct 31 23:50:31 +0000 2023,1719502140853641446,"@ernestprakasa Iya gojek adalah salah satu solusi bagi masalah transportasi di Indonesia, tarifnya juga underate bila dibandingkan ojek jaman jahiliah dahulu",0,0,0,3,in,843658298,1719327523996385599,grestenaniwan,https://twitter.com/grestenaniwan/status/1719502140853641446,neutral,0.6153913140296936
8,Tue Oct 31 23:50:19 +0000 2023,1719502090631008363,"@ClementKoel @yuknontonyuk @G_4_M @ernestprakasa Lah gua bukan driver,gua cm tau dan sering denger keluhan mitra driver,bicara itu yg jelas,kita bicara sesuai topik di atas,bukan melebar kemana mana,lu karyawan gojek..??",0,1,0,0,in,1328708861822287877,1719327523996385599,Yadiesupri1,https://twitter.com/Yadiesupri1/status/1719502090631008363,negative,0.9996323585510254
9,Tue Oct 31 23:47:40 +0000 2023,1719501420335169716,@ernestprakasa Ya mnurut kho ernest murh ya tp bagi kami ojek pangkalan sma gojek tarif nya hampir sama.,0,0,0,1,in,1604399688815636482,1719327523996385599,OchyPramono,https://twitter.com/OchyPramono/status/1719501420335169716,neutral,0.9993923902511597
10,Tue Oct 31 23:47:30 +0000 2023,1719501382045294632,Emang klo gojek tawar/nego bakal di jamin klo dapet orderan?,0,0,0,1,in,86948227,1719501382045294632,inidodi,https://twitter.com/inidodi/status/1719501382045294632,neutral,0.9996298551559448
11,Tue Oct 31 23:44:56 +0000 2023,1719500734784516224,@itbfess ga bisa gojek mahal,0,0,0,0,in,1555035093260832768,1719338997699551625,gibsbedvmb,https://twitter.com/gibsbedvmb/status/1719500734784516224,negative,0.9994621872901917
12,Tue Oct 31 23:44:08 +0000 2023,1719500533084602520,"@kegblgnunfaedh Mana nih para gojek??? Cari org itu tuh, org yg seperti ini membuat para driver gojek jadi jelek....",0,0,0,0,in,1606976208444751872,1719025347692536133,sudah_merdeka,https://twitter.com/sudah_merdeka/status/1719500533084602520,negative,0.9998637437820435
