,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,label,score
0,Tue Oct 31 23:46:28 +0000 2023,1719501120090108226,ya Allah pengen semua ojek online gue di pagi hari nyetirnya kyk latif 🫠🙏,0,1,0,0,in,169426053,1719501120090108226,cibygaby,https://twitter.com/cibygaby/status/1719501120090108226,positive,0.5408929586410522
1,Tue Oct 31 23:36:40 +0000 2023,1719498652123910185,@byseto_ @kegblgnunfaedh Di kota kecil aja begitu ojek yg bukan online. Suka maksa minta ongkosnya dgn alasan macam2. Aku tuh kadang kasian apalagi kalo motor tua (org ngk mua milih ini biasanya) ongkos dilebihin juga eh ternyata rampok juga.,0,1,0,0,in,1463309042198056961,1719025347692536133,dehades0,https://twitter.com/dehades0/status/1719498652123910185,negative,0.9998594522476196
2,Tue Oct 31 21:51:30 +0000 2023,1719472189173268672,"Salah satu keunggulan ojek online itu bukannya tarif yang sudah jelas dibandingkan dengan ojek konvensional, hmmm",0,0,0,0,in,231285546,1719472189173268672,FirmansyahFHM,https://twitter.com/FirmansyahFHM/status/1719472189173268672,positive,0.7965793013572693
3,Tue Oct 31 21:22:23 +0000 2023,1719464862378856793,@kumparan Trs tergiur penghasilan lumayan dr rider ojol akhir bnyk opang daftar jd ojol skrg malah rungkad² jg akibat perang tarif imbas dr ketatnya persaingan antar platform ojek online. Ini baru ojolnya blm lg yg taksolnya makin rungkad aja.,0,0,0,0,in,1619853835186606081,1719193860818293211,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719464862378856793,negative,0.9996992349624634
4,Tue Oct 31 21:18:48 +0000 2023,1719463960636981587,"@kumparan Apalagi makin banyak aja pemain di bisnis ojek online dr duo G sempat ada Ub** akhirnya skrg malah nambah ada InD**** &amp  Max** makin bnyk lg rider ojek online jd makin bnyk yg mangkal"" di bnyk tmpt blm lagi perang tarif antar platform. Yg tdnya opang mau tergerus (cont)""",0,1,0,0,in,1619853835186606081,1719193860818293211,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719463960636981587,negative,0.9997877478599548
5,Tue Oct 31 21:13:28 +0000 2023,1719462617050447931,"@kumparan Akirnya krna ojek online booming meledak di mana2 jdnya opang tergerus dan pada daftar jd rider ojek online jg. Akhirnya skrg ojek online pada bnyk yg mangkal"" di mana² ini kl smpe fitur nego harga jd makin balik lg aja kyk opang.""",0,1,0,0,in,1619853835186606081,1719193860818293211,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719462617050447931,negative,0.9994949102401733
6,Tue Oct 31 21:11:59 +0000 2023,1719462244004909094,@kumparan Padahal di awal ojek online di buat agar org lebih nyaman naik ojek krna tidak terjadi tawar menawar harga (fix price) &amp  tdk ada lg tembak harga (transparent price).  Terus juga spy gk ada lg pangkalan ojek yg saat itu menjamur di mana-mana.,0,1,0,0,in,1619853835186606081,1719193860818293211,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719462244004909094,negative,0.9985978007316589
7,Tue Oct 31 21:08:31 +0000 2023,1719461371891626268,"@ernestprakasa Akirnya krna ojek online booming meledak di mana2 jdnya opang tergerus dan pada daftar jd rider ojek online jg. Akhirnya skrg ojek online pada bnyk yg mangkal"" di mana² ini kl smpe fitur nego harga jd makin balik lg aja kyk opang.""",0,0,0,0,in,1619853835186606081,1719327523996385599,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719461371891626268,negative,0.9997056126594543
8,Tue Oct 31 21:04:06 +0000 2023,1719460257263739216,@ernestprakasa Padahal di awal ojek online di buat agar org lebih nyaman naik ojek krna tidak terjadi tawar menawar harga (fix price) &amp  tdk ada lg tembak harga (transparent price).  Terus juga spy gk ada lg pangkalan ojek yg saat itu menjamur di mana-mana.,0,1,0,5,in,1619853835186606081,1719327523996385599,ryanlaloe85,https://twitter.com/ryanlaloe85/status/1719460257263739216,negative,0.9965423941612244
9,Tue Oct 31 20:47:24 +0000 2023,1719456054655037611,"Penutupan jalur masuk ke perumahan sebagai bentuk protes terhadap SSA di kawasan kampus ternyata berdampak terhadap pekerja ojek online. Demikian disampaikan perwakilan ojek online, Fandy saat aksi di Gedung DPRD Jember, Selasa siang 31 Oktober 2023. ----- https://t.co/dvlyYS0mya https://t.co/iJjQqbgZSw",0,0,0,0,in,104459733,1719456054655037611,kissfmjember,https://twitter.com/kissfmjember/status/1719456054655037611,neutral,0.9996860027313232
10,Tue Oct 31 18:48:24 +0000 2023,1719426108419113082,"@ernestprakasa Baru aja dua minggu lalu menggunakan jasa ojek online, dia cerita dari awal tarifnya terus menurun karna banyak saingan padahal harga bbm terus naik.  Jarak dari rumah ke rumah teman 6.5 km, saya naik mobil sama anak bayarnya 25rb aja. Ini murah banget sih untuk ukuran mobil.",0,0,0,2,in,82326288,1719327523996385599,rachocopasto,https://twitter.com/rachocopasto/status/1719426108419113082,positive,0.999415397644043
11,Tue Oct 31 18:37:25 +0000 2023,1719423343596851338,"@ernestprakasa Terimakasih ko sudah memahami kami ini driver ojek online , dari awal kenaikan bahan bakar kita sudah kewalahan karena bahan pokok juga naek , yg biasa rokok skrng sudah mengurangi tapi masih kalah di operational seperti service rutin kendaraan",0,0,0,2,in,1447524764025700358,1719327523996385599,BrayBrisky,https://twitter.com/BrayBrisky/status/1719423343596851338,negative,0.9997406601905823
12,Tue Oct 31 18:26:43 +0000 2023,1719420653089226887,"GABUNGAN AKSI OJEK ONLINE JEMBER, BONDOWOSO, SITUBONDO DAN BANYUWANGI 31 OKT 2023 @gojekindonesia @GrabID @JatimPemprov @KhofifahIP @kemenhub151 https://t.co/K4mZNQITvh",0,1,0,0,in,84892703,1719420653089226887,Gunawan_P1968,https://twitter.com/Gunawan_P1968/status/1719420653089226887,neutral,0.9995803236961365
13,Tue Oct 31 17:30:54 +0000 2023,1719406605417238631,staring at the online order food app about 30 minutes straight and still have no choice mau makan apa. i also doubt emang ada ojek online yang mau process our order di jam 01.30 a.m..?,0,0,0,0,en,1414575403872575489,1719406605417238631,eougeo,https://twitter.com/eougeo/status/1719406605417238631,neutral,0.9995658993721008
14,Tue Oct 31 17:20:26 +0000 2023,1719403969997603248,"hari ini numpak ojek online, kayane bapake nangis soale dalam perjalanan yg tidak seberapa lama itu bapake bberapa kali ngusap wajah",0,1,0,0,in,241036868,1719403969997603248,pphe_,https://twitter.com/pphe_/status/1719403969997603248,negative,0.9997915625572205
15,Tue Oct 31 15:54:33 +0000 2023,1719382359190167873,@ernestprakasa Ya krn itu dulu orang banyak beralih ke gojek krn murah.. kalo hanya karena online doang tapi harganya sama (ato lebih mahal) kayak ojek pengkolan mgkn ojek pengkolan masih banyak ampe skrg 🤷🏻‍♂️,0,0,0,1,in,56718182,1719327523996385599,dani_dosed,https://twitter.com/dani_dosed/status/1719382359190167873,negative,0.9998045563697815
16,Tue Oct 31 15:16:10 +0000 2023,1719372700865749456,"Atas persoalan itu, driver ojek online mengadu ke Komisi C DPRD Jember, Selasa, 31 Oktober 2023.  https://t.co/MeezJj72p5",0,0,0,0,in,1379110019203956738,1719372698730807371,TransonlineTV,https://twitter.com/TransonlineTV/status/1719372700865749456,neutral,0.9996618032455444
